,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
경원해물찜 신마산점,"해물찜,섞어찜.아구찜
해물찜,섞어찜.아구찜
마약찜, 줄서서 먹는 집
35,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쿠시료코,"꼬치5종
꼬치5종
16,000원","이미지 준비중
꼬치10종
30,000원","이미지 준비중
연어사시미
28,000원","이미지 준비중
나가사키해물탕
20,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창포찜,"생아구찜 2인분
20,000원","생아구찜 3인분
27,000원","생아구찜 4인분
34,000원","생아구찜 5인분
40,000원","마른아구찜 2인분
27,000원","마른아구찜 3인분
33,000원","마른아구찜 4인분
39,000원","마른아구찜 5인분
45,000원","대구뽈찜 2인분
22,000원","대구뽈찜 3인분
29,000원","대구뽈찜 4인분
36,000원","대구뽈찜 5인분
42,000원","꽃게찜 2인분
24,000원","꽃게찜 3인분
30,000원","꽃게찜 4인분
36,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오늘김해뒷고기 경남대점,"국내산 뒷고기
국내산 뒷고기
대표
일반적인 뒷고기 가게에서는 주로 후지를 사용하나 오늘김해뒷고기에서는 전지, 목살, 항정살, 추리, 갈매기살 등을 사용하여 더욱 맛있는 고기를 제공합니다.
3,900원","치즈 볶음밥
치즈 볶음밥
대표
전문 교육을 받은 직원이 손님 테이블에서 즉석으로 치즈 폭탄 볶음밥을 만들어드립니다.
8,000원","된장찌개
된장찌개
2,000원","계란찜
계란찜
2,000원","라면
라면
3,000원","누룽지탕
누룽지탕
4,000원","소주
소주
3,500원","맥주
맥주
4,000원","청하
청하
4,000원","음료
음료
1,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
에코커피,커피,NON 커피,케이크&베이커리,원두 200g 판매,더치&드립백,포장/ 케이크&베이커리,"오늘의 커피
4,500원","핸드드립
5,000원","아메리카노
3,900원","에스프레소
3,900원","콜드브루
5,500원","카페라떼
5,000원","카푸치노
5,000원","사케라토
4,300원","카라멜마끼아또
5,500원","바닐라라떼
5,500원","카페모카
5,500원","아포가또
하겐다즈
6,500원","커피에코치노
5,800원","요거트스무디
5,800원","그린티에코치노
5,800원","에이드
6,000원","과일주스
6,000원","아이스크림 하겐다즈바닐라
3,800원","빙수
7,000원","핫/아이스 초코
6,000원","고구마라떼
6,000원","그린티라떼
5,000원","티
5,800원","생초콜릿 1piece
1,900원","조각케잌
4,500원","허니브레드
5,800원","허니치즈브레드
6,000원","베이글
어니언+크림치즈
3,900원","우유크림카스테라
4,800원","체코허니말렌카케이크
4,800원","쿠키
1,500원","브라질 옐로우카투아이
갈색 설탕 캐러멜의 풍부한 달콤함에 더해진 견과류의 고소함과 훌륭한 바디감
14,000원","에티오피아 모모라 내추럴 구지 G1
블루베리, 라즈베리의 달콤한 풍미에 더해지는 부드러운 바디감
15,000원","콜롬비아 수프리모
초콜릿의 달콤함과 부드러운 산미 묵직한 바디감의 조화
14,000원","콜롬비아 안티오키아 디카페인 수프리모
흑설탕의 달콤함, 은은하게 퍼지는 코코넛의 풍미와 긴 여운!
14,000원","코스타리카 골든허니
키위 자몽의 싱그러운 산미와 갈색설탕의 달콤함이 입안에 맴도는 긴 여운
16,000원","케냐 AA TOP
코코넛의 고소한 풍미와 리치포도의 부드럽고 달콤함의 조화
16,000원","예멘 모카 마타리
세계 3대 커피 하이 앤드 스페셜 티 블랙베리, 딸기의 상큼함과 풍미에 더해지는 캐러멜과 꿀의 달콤함, 견과류의 고소함
17,000원","과테말라 안티구아
밀크초콜릿의 부드러운 달콤함과 코코넛의 고소함에 더해지는 은은한 산미/훌륭한 밸런스
14,000원","Brown Blend 1kg
좋은 균형감 브라운 슈가/깔끔함/굿밸런스
35,000원","Dark Blend 1kg
달콤구수 다크초콜릿/묵직한 바디감/긴 여운
35,000원","Echo Blend 1kg
고소하면서도 깔끔한 카카오 느낌과 묵직한 바디감
27,000원","더치 1L
과테말라 원두로 진하게 내린 더치
25,000원","더치 500ml
과테말라 원두로 진하게 내린 더치 커피
15,000원","더치 250ml
과테말라 원두로 진하게 내린 더치 커피
7,000원","우유크림카스테라
4,800원","체코허니말렌카케이크
4,800원","쿠키
1,500원"
착한조개,,,,,"[비조리] 착한조개전골([비조리])
35,000원
주문하기","[비조리]해물삼합
35,000원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화승옥,"정식
10,000원","돌솥비빔밥
7,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두끼 경남대점,"성인
8,900원","학생(초중고)
7,900원","소인
4,900원","날개치즈퐁듀
4,000원","치즈후라이
3,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비비샐러드,"목살스테이크샐러드
목살스테이크샐러드
대표
슈비드 닭가슴살, 목살 스테이크,
6,500원","이미지 준비중
쉬림프샐러드
대표
6,800원","이미지 준비중
소불고기샐러드
6,800원","이미지 준비중
닭가슴살샐러드
6,500원","이미지 준비중
닭다리살샐러드
6,800원","이미지 준비중
리코타샐러드
6,500원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
땡초김밥 마산월남동점,"땡초김밥(2줄)
땡초김밥(2줄)
대표
땡초김밥 종류 중 가장 매운단계(★★★)
6,000원","땡초참치김밥(2줄)
땡초참치김밥(2줄)
대표
땡초김밥 종류 중 적당히 매운단계(★☆☆)
8,000원","땡초속김밥(2줄)
땡초속김밥(2줄)
땡초김밥 종류 중 중간 매운단계(★★☆)
7,000원","이미지 준비중
일반김밥(2줄)
5,000원","이미지 준비중
참치김밥(2줄)
6,000원","철판볶음밥
철판볶음밥
7,000원","치즈철판볶음밥
치즈철판볶음밥
8,000원","이미지 준비중
떡볶이
6,500원","이미지 준비중
순살닭볶이
11,000원","땡초라면
땡초라면
6,000원","이미지 준비중
쫄면
7,000원","이미지 준비중
돈까스
7,000원","치즈돈까스
치즈돈까스
8,000원","냉쫄면
냉쫄면
7,500원","라볶이
라볶이
8,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
숨바꼭집,,,,,"(인기)메론 레몬 소다
4,000원
주문하기","(추천) 찐 군고구마 바스크 치즈케이크
6,000원
주문하기","오레오크림치즈케잌
3,300원
주문하기","초코티라미수(초코)
4,500원
주문하기","(컴백)포루투칼식 에그타르트
2,300원
주문하기","바닐라 휘낭시에
2,000원
주문하기",,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
피자스쿨 마산서중점,"고구마피자
고구마피자
대표
9,000원","이미지 준비중
포테이토피자
대표
9,000원","치즈피자
치즈피자
7,000원","이미지 준비중
페퍼로니피자
8,000원","이미지 준비중
콤비네이션피자
9,000원","불고기피자
불고기피자
9,000원","이미지 준비중
핫치킨피자
9,000원","이미지 준비중
나폴리피자
10,000원","이미지 준비중
고르곤졸라피자
11,000원","이미지 준비중
트러플포테이토피자
11,000원","이미지 준비중
더블갈릭바베큐피자
11,000원","이미지 준비중
스테이크피자
11,000원","이미지 준비중
아이리쉬포테이토피자
11,000원","이미지 준비중
까르보네피자
11,000원","이미지 준비중
깐쇼새우피자
12,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
슌,"연어사시미
연어사시미
대표
생연어입니다 슌에서 매주2회 헤체작업합니다
25,000원","소고기타다끼
소고기타다끼
대표
호주산 우둔살로 구워드립니다
18,000원","이미지 준비중
참치사시미
35,000원","이미지 준비중
메로구이
25,000원","이미지 준비중
규카츠
22,000원","이미지 준비중
타코와사비
12,000원","이미지 준비중
나가사키짬뽕
22,000원","이미지 준비중
치킨가라아게
15,000원","이미지 준비중
소프트쉡크랩
20,000원","이미지 준비중
문어숙회
20,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시골들깨칼국수,"들깨칼국수
7,000원","일반칼국수
5,000원","만두
7,000원","콩국수
(계절메뉴)
7,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맷돌콩국수,"콩국수(4~10월)
7,000원","들깨칼국수
7,000원","해물칼국수
7,000원","떡만두국(11~3월)
6,000원","우동(10~4월)
6,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
본세이로무시 마산직영점,,,,,,,"랍스터갈릭버터구이 (500g)(500g 1마리)
39,000원
주문하기","랍스터갈릭버터구이 (500g)(500g 3마리)
115,000원
주문하기","랍스터갈릭버터구이 (500g)(500g 2마리)
76,000원
주문하기","세이로무시(2인(1판))
38,000원
주문하기","세이로무시(3~4인(2판))
67,000원
주문하기","해산물찜(1판)
35,000원
주문하기","고기 한판(1판)
35,000원
주문하기","가리비버터구이(1kg)
29,000원
주문하기","가리비버터구이(500g)
15,000원
주문하기","국산 가리비찜(1kg)
23,000원
주문하기","국산 가리비찜(500g)
12,000원
주문하기",,,,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충무로38양곱창 신마산점,,,,,,"곱창전골(중 (2인분))
28,000원
주문하기","곱창전골(대 (3~4인분))
39,000원
주문하기",고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52 돈까스,"미트소스돈까스
9,000원","브라운소스 돈까스
8,000원","돈까스&스파게티
10,000원","돈까스&볶음밥
9,000원","누들돈까스
10,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
교촌치킨 월영점,,,,,,"교촌발사믹치킨
18,500원
주문하기",,,,,,,고객센터,이용약관,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
